VideoID,Site,Title,Performers,Rating,Director,Description,Runtime,Release Date,Year,Pictures,Video URL,Thumbnail URL,Thumbnail Filename
104215,Tushy,Anal Loving Tommy Knows How To Get Her Man To Stay,"TOMMY KING, MAXIMO GARCIA",8.2,Laurent Sky,"Tommy doesn't make the best decisions: she's infatuated with a man who's never around, but that's what she gets for thinking with her pussy. So this time, she's letting her ass call the shots...",30:27:00,15-Oct-23,2023,77,https://www.tushy.com/videos/anal-loving-tommy-knows-how-to-get-her-man-to-stay,https://cdn.tushy.com/scene/videoimages/104215/mainLandscape/1696509804787/tushy-022723-toki-ma_3840x2160.jpeg,104215.jpeg
104214,Tushy,Free Spirited Sofi Searches For Vacay Anal Experience,"SOFI NOIR, VINCE KARTER",7.9,Julia Grandi,Sofi wants to feel free. So she rents a house in the Caribbean to be served on hand and foot. She doesn't bring a suitcase because clothes are just an obstacle. She also will fuck anyone who she finds remotely attractive.,35:43:00,08-Oct-23,2023,104,https://www.tushy.com/videos/free-spirited-sofi-searches-for-vacay-anal-experience,https://cdn.tushy.com/scene/videoimages/104214/mainLandscape/1696509930821/tushy-free-spirited-sofi-searches-for-vacay-anal-experience_3840x2160.jpeg,104214.jpeg
104201,Tushy,Girl With A Plan Part 1,"ALEXIS TAE, MAXIMO GARCIA",8.5,Laurent Sky,"Alexis and all of her friends want to attack their self-defence instructor, but Alexis has a plan to take initiative. All she needs is a good excuse to show up after class...",35:58:00,01-Oct-23,2023,77,https://www.tushy.com/videos/girl-with-a-plan-part-1,https://cdn.tushy.com/scene/videoimages/104201/mainLandscape/1695287135572/tushy-girl-with-a-plan-part-1_3840x2160.jpeg,104201.jpeg
104200,Tushy,French Beauty Ariana Learns The Art Of Anal Sex,"ARIANA CORTEZ, VINCE KARTER",9.2,Julia Grandi,"Ariana an architecture student travelling in the south of France, Meets Vince, an architect who introduces her to new ideas.",37:41:00,24-Sep-23,2023,104,https://www.tushy.com/videos/french-beauty-ariana-learns-the-art-of-anal-sex,https://cdn.tushy.com/scene/videoimages/104200/mainLandscape/1694683405504/tushy-052723-arco-vc_3840x2160.jpeg,104200.jpeg
104166,Tushy,Influence: Vanna Bardot - Part 3,"VANNA BARDOT, ALEX JONES, DANTE COLLE",9.2,Derek Dozer,"Vanna gets lucky, and then she gets busted. She might be able to charm her way into getting twice as lucky, with the help of a trick up her… wherever. Part 3 of 5. Stay looped in with Part 4 on SLAYED.",44:13:00,17-Sep-23,2023,81,https://www.tushy.com/videos/influence-vanna-bardot-part-3,https://cdn.tushy.com/scene/videoimages/104166/mainLandscape/1693496956898/tushy-influence-vanna-bardot-part-3_3840x2160.jpeg,104166.jpeg
104165,Tushy,Influence: Vanna Bardot - Part 1,"VANNA BARDOT, MAXIMO GARCIA",9.2,Derek Dozer,"Vanna’s dream of running the hottest sex club in America is off to a shaky start. An endorsement from an influencer is bound to help, but for Vanna that means mixing business with pleasure. Part 1 of 5. Stay looped in with Part 2 on BLACKED.",46:40:00,10-Sep-23,2023,88,https://www.tushy.com/videos/influence-vanna-bardot-part-1,https://cdn.tushy.com/scene/videoimages/104165/mainLandscape/1693496852443/tushy-influence-vanna-bardot-part-1_3840x2160.jpeg,104165.jpeg
104177,Tushy,Gorgeous Baddie Ass Fucked By Sisters Hubby,"CHANEL CAMRYN, OLIVER FLYNN",9.2,Derek Dozer,"Chanel can sniff out a sexually frustrated man from a mile away, and her sister's husband's case, several hundred miles away.",36:14:00,03-Sep-23,2023,73,https://www.tushy.com/videos/gorgeous-baddie-ass-fucked-by-sisters-hubby,https://cdn.tushy.com/scene/videoimages/104177/mainLandscape/1692954578939/tushy-gorgeous-baddie-ass-fucked-by-sisters-hubby_3840x2160.jpeg,104177.jpeg
104153,Tushy,Anal Obsessed,"ELIZA IBARRA, MAXIMO GARCIA",9.2,Laurent Sky,"When all her friends compete for their self-defence instructor, lithe Eliza gets in the first hit, not by chasing after him, but by giving him a glimpse of the luscious ass he should be chasing.",39:16:00,27-Aug-23,2023,80,https://www.tushy.com/videos/anal-obsessed,https://cdn.tushy.com/scene/videoimages/104153/mainLandscape/1692179931990/tushy-071223-ei-ma_3840x2160.jpeg,104153.jpeg
104149,Tushy,Naughty Catherine Gets Her DP Fantasy Fulfilled,"CATHERINE KNIGHT, VINCE KARTER, ALBERTO BLANCO",9.1,Julia Grandi,"Demure and sophisticated, or a total troublemaker... Catherine is a woman of many faces, but the real her is mostly just greedy for more.",38:38:00,20-Aug-23,2023,132,https://www.tushy.com/videos/naughty-catherine-gets-her-dp-fantasy-fulfilled,https://cdn.tushy.com/scene/videoimages/104149/mainLandscape/1691747651062/tushy-02032-ck-vc-ab_3840x2160.jpeg,104149.jpeg
104135,Tushy,Vanessa Surprises Bf With The Gift Of Anal,"VANESSA SKY, APOLLO BANKS",8.5,Laurent Sky,"Vanessa knows how to keep a man motivated: when she holds out in the bedroom and dangles the right prize, her boyfriend will rise to any challenge for a chance at what he wants from her most.",34:58:00,13-Aug-23,2023,68,https://www.tushy.com/videos/vanessa-surprises-bf-with-the-gift-of-anal,https://cdn.tushy.com/scene/videoimages/104135/mainLandscape/1690534202153/tushy-the-real-prize_3840x2160.jpeg,104135.jpeg
104129,Tushy,In Vogue Part 5,"KELLY COLLINS, VINCE KARTER, MARCO BULL",9.3,Julia Grandi,"In this competition, there can only be one winner. If Kelly can't win the title, maybe she can work out a consolation prize that's twice as nice. Part 5 of 5.",38:30:00,06-Aug-23,2023,108,https://www.tushy.com/videos/in-vogue-part-5,https://cdn.tushy.com/scene/videoimages/104129/mainLandscape/1689930815951/tushy-in-vogue-part-5_3840x2160.jpeg,104129.jpeg
104114,Tushy,In Vogue Part 2,"VANESSA ALESSIA, VINCE KARTER",9.2,Julia Grandi,"Vanessa is the most dangerous thing to hit the Paris runway this season: when she's not stealing thunder, she's stealing men. Part 2 of 5. Part 3 hits the runway on BLACKED. AVN Best International Anal Sex Scene - “In Vogue Part 2”",39:08:00,30-Jul-23,2023,107,https://www.tushy.com/videos/in-vogue-part-2,https://cdn.tushy.com/scene/videoimages/104114/mainLandscape/1689930037838/tushy-in-vogue-part-2_3840x2160.jpeg,104114.jpeg
